Timestamp,SAB:G1.TNH_V,SAB:G1.L89SSC,SAB:G1.L52BT1,SAB:G1.L52BT2,SAB:G1.L52BD1,SAB:G1.L52BD2,SAB:G1.L52VG1,SAB:G1.L52VG2,SAB:G1.L1X,SAB:G1.L52BN1,SAB:G1.L52BN2,SAB:BOP.A3.LCA54.AA091XH01,SAB:G1.L52TK1,SAB:G1.L52TK2
4/12/2022T 15:41:26,12.4269934,,,,,,,,,,1,1,,
4/12/2022T 15:41:27,12.428627,,,,,,,,,,1,1,,
4/12/2022T 15:41:28,12.4297962,,,,,,,,,,1,1,,
4/12/2022T 15:41:29,12.4309654,,,,,,,,,,1,1,,
4/12/2022T 15:41:30,12.4321346,,,,,,,,,,1,1,,
4/12/2022T 15:41:31,12.4333048,,,,,,,,,,1,1,,
4/12/2022T 15:41:32,12.4344063,,,,,,,,,,1,1,,
4/12/2022T 15:41:33,12.4345627,,,,,,,,,,1,1,,
4/12/2022T 15:41:34,12.4347181,,,,,,,,,,1,1,,
4/12/2022T 15:41:35,12.4348745,,,,,,,,,,1,1,,
4/12/2022T 15:41:36,12.4350309,,,,,,,,,,1,1,,
4/12/2022T 15:41:37,12.4351864,,,,,,,,,,1,1,,
4/12/2022T 15:41:38,12.4364424,,,,,,,,,,1,1,,
4/12/2022T 15:41:39,12.4377613,,,,,,,,,,1,1,,
4/12/2022T 15:41:40,12.4390793,,,,,,,,,,1,1,,
4/12/2022T 15:41:41,12.4403973,,,,,,,,,,1,1,,
4/12/2022T 15:41:42,12.4417152,,,,,,,,,,1,1,,
4/12/2022T 15:41:43,12.4433041,,,,,,,,,,1,1,,
4/12/2022T 15:41:44,12.44495,,,,,,,,,,1,1,,
4/12/2022T 15:41:45,12.4465961,,,,,,,,,,1,1,,
4/12/2022T 15:41:46,12.4482412,,,,,,,,,,1,1,,
4/12/2022T 15:41:47,12.4498873,,,,,,,,,,1,1,,
4/12/2022T 15:41:48,12.4499626,,,,,,,,,,1,1,,
